章节,知识点,知识点详情
第一章,DIKW,DIKW由数据、信息、知识、智慧按照关联转化层次组成的转化机制（名词解释：2016年）。
第一章,公开信息,又称白色信息，是指传递和利用范围几乎没有任何限制的信息
第一章,非公开信息,又称黑色信息，传递和利用范围较小的内部信息和严格控制传递范围的秘密信息。
第一章,灰色信息,指没有公开的、潜在的信息，或需要通过一些合法的、特定的渠道才能获得的信息。（名词解释2009年）
第一章,零次信息,未经加工、零散的、不系统的、原始的信息
第一章,一次信息,根据第一手资料创造、形成的初加工信息 
第一章,二次信息,在一次信息基础上加工整理形成的引导和使用一次信息的信息。
第一章,三次信息,根据二次信息提供的途径获取并使用一次信息结合其他零次信息分析综合形成的高层次组织信息（简答题：2014年）
第一章,信息资源的社会功能（2020）,"个人：
1．确保行为有效——>技术窍门
2．带来充实活力——>武侠小说
3．提升个人能力——>完善知识结构，MOOC
组织：
4．实现科学决策——>日本三菱“更好的情报，更光明的未来”
5．维护稳定运行——>提升效率，节省人财物
6．指导成员行动——>指挥的作用
社会：
7．监控发展环境——>社会发展和经济建设
8．调整组成结构——>社会和谐与协调
9．继承社会遗产——>人类社会文明的记忆装置"
第一章,列举5个信息的特征（2022）,"1、广泛性和普遍性（信息无处不在）
2、可识别性和计量性（感官可知；可计量分析）
3、可存储性和转换性（信息可存储；形态不唯一） 
4、传递性和相对中立性 （时空传递；内涵中立）  
5、可处理性和再生性 （信息再加工；信息生命周期） 
6、共享性和可开发性 （反馈中丰富信息；科学理论指导开发）  
7、价值相对性和绝对性 （信息价值个体差异；同一价值一定）  
8、不完全性和不对称性 （反映不完全；绝对/相对的信息不对称（简答题：2013年））  
9、时效性和滞后性 （信息的时效周期；时间差的存在）  
10、有机性和差异性 （信息的组成要素；信息的聚散规律）"
第一章,"广义的信息资源（2, 2021）",是指人类社会信息活动中积累起来的以信息为核心的各类信息活动要素的集合（名词解释：2012、2021年）。
第一章,信息资本（2013）,直接或间接获得价值增量或经济收益的信息资源（名词解释：2013年）。
第一章,信息资产,是可以用货币形式核算和可以用价值计量的信息储备。
第一章,信息财富观（2012）,"是以有形财富与无形财富相结合，无形财富越来越占主导地位为特征的财富观。
信息成为财富的原因：人们可以运用信息资源使非资源转化为资源；运用信息资源部分替代其他资源；运用信息资源开发信息产品和服务；运用信息资源促进资源合理分配；运用信息资源扩大经济增值空间；运用信息资源制定有效的发展策略。（简答题：2012年）"
第一章,信息资源三角形（2019）,信息资源三角形是指：信息服务（目的和内容）、信息源（资源、来源、渠道）和信息系统（方法、工具、有序化）（名词解释：2019年）
第一章,信息资源链（2015）,信息资源链由事实、数据、信息、知识、智慧构成的链式结构（名词解释：2015年）。
第一章,生产率悖论（2011）,信息技术的巨额投资并没有带来生产率的增长，而是使生产率的增长停滞不前或下降（简答题：2011年）。
第一章,"信息资源的构成要素（2, 2022）","（一）信息生产者：是信息资源的元资源，是信息资源的基础，信息生产者也可以是信息的消费者，在信息消费链中信息用户角色可转化。
（二）信息：是信息资源的本资源，是信息资源的核心。
（三）信息技术：是信息资源的表资源，是为信息的开发利用而产生的，是信息资源的延伸，是加工处理和传递有用信息的各种技术的集合。
（简答题：2018、2022年）"
